mgapId,mgapId/gender,mgapId/geographic_origin,mgapId/species,rowid,sequenceType,sraAccession,totalReads
m00445,f,India,RHESUS MACAQUE,865205,Whole Genome: Deep Coverage,SRR6206189,350403979
m00446,f,India,RHESUS MACAQUE,865206,Whole Genome: Deep Coverage,SRR6206188,309568812
m00447,f,INDIA,RHESUS MACAQUE,865209,Whole Genome: Deep Coverage,SRR6206190,299603532
m00448,f,India,RHESUS MACAQUE,865210,Whole Genome: Deep Coverage,SRR6206191,306131278
m00449,m,India,RHESUS MACAQUE,865213,Whole Genome: Deep Coverage,SRR6206187,276181392
m00450,f,India,RHESUS MACAQUE,865214,Whole Genome: Deep Coverage,SRR6206186,283039133
m00451,m,India,RHESUS MACAQUE,865217,Whole Genome: Deep Coverage,SRR6206161,325359595
m00452,f,India,RHESUS MACAQUE,865218,Whole Genome: Deep Coverage,SRR6206162,409296663
m00453,f,India,RHESUS MACAQUE,865220,Whole Genome: Deep Coverage,SRR6206163,319548477
m00454,m,India,RHESUS MACAQUE,865221,Whole Genome: Deep Coverage,SRR6206164,372024256
m00455,f,India,RHESUS MACAQUE,865224,Whole Genome: Deep Coverage,SRR6206167,289351940
m00456,f,India,RHESUS MACAQUE,865225,Whole Genome: Deep Coverage,SRR6206165,360816627
m00457,f,India,RHESUS MACAQUE,865228,Whole Genome: Deep Coverage,SRR6206168,311011980
m00458,m,India,RHESUS MACAQUE,865229,Whole Genome: Deep Coverage,SRR6206166,362348620
m00459,m,India,RHESUS MACAQUE,865232,Whole Genome: Deep Coverage,SRR6206159,335739492
m00460,f,India,RHESUS MACAQUE,865233,Whole Genome: Deep Coverage,SRR6206160,290576846
m00461,f,India,RHESUS MACAQUE,865236,Whole Genome: Deep Coverage,SRR6206153,338528685
m00462,f,India,RHESUS MACAQUE,865237,Whole Genome: Deep Coverage,SRR6206154,339976903
m00463,f,India,RHESUS MACAQUE,865239,Whole Genome: Deep Coverage,SRR6206196,368884570
m00464,f,India,RHESUS MACAQUE,865240,Whole Genome: Deep Coverage,SRR6206197,341302392
m00465,f,India,RHESUS MACAQUE,865241,Whole Genome: Deep Coverage,SRR6206157,304785960
m00466,f,India,RHESUS MACAQUE,865244,Whole Genome: Deep Coverage,SRR6206158,355591551
m00467,f,India,RHESUS MACAQUE,865245,Whole Genome: Deep Coverage,SRR6206155,349436688
m00468,f,India,RHESUS MACAQUE,865248,Whole Genome: Deep Coverage,SRR6206156,304767220
m00470,f,India,RHESUS MACAQUE,865252,Whole Genome: Deep Coverage,SRR6206185,379080315
m00471,f,India,RHESUS MACAQUE,865253,Whole Genome: Deep Coverage,SRR6206173,292687469
m00472,m,India,RHESUS MACAQUE,865256,Whole Genome: Deep Coverage,SRR6206172,283084822
m00473,f,India,RHESUS MACAQUE,865257,Whole Genome: Deep Coverage,SRR6206171,343686087
m00474,f,India,RHESUS MACAQUE,865260,Whole Genome: Deep Coverage,SRR6206170,279463228
m00475,m,India,RHESUS MACAQUE,865261,Whole Genome: Deep Coverage,SRR6206169,299593019
m00481,f,India,RHESUS MACAQUE,865269,Whole Genome: Deep Coverage,SRR7865668,296290798
m00482,f,India,RHESUS MACAQUE,865270,Whole Genome: Deep Coverage,SRR7865718,327609907
m00483,f,India,RHESUS MACAQUE,865273,Whole Genome: Deep Coverage,SRR7865702,321402309
m00484,f,India,RHESUS MACAQUE,865274,Whole Genome: Deep Coverage,SRR7865703,326899623
m00485,f,India,RHESUS MACAQUE,865277,Whole Genome: Deep Coverage,SRR7865700,304210306
m00486,f,India,RHESUS MACAQUE,865278,Whole Genome: Deep Coverage,SRR7865701,292578469
m00487,f,India,RHESUS MACAQUE,865281,Whole Genome: Deep Coverage,SRR7865706,333731922
m00488,f,Hybrid (China / India),RHESUS MACAQUE,865282,Whole Genome: Deep Coverage,SRR7865707,348971740
m00535,f,India,RHESUS MACAQUE,865332,Whole Genome: Deep Coverage,SRR7865717,358883763
m00569,m,India,RHESUS MACAQUE,865366,Whole Genome: Deep Coverage,SRR7827150,295314017
m00570,m,India,RHESUS MACAQUE,865367,Whole Genome: Deep Coverage,SRR7827149,342967423
m00571,f,India,RHESUS MACAQUE,865368,Whole Genome: Deep Coverage,SRR7827148,362033362
m00572,f,India,RHESUS MACAQUE,865369,Whole Genome: Deep Coverage,SRR7865669,325914440
m00573,f,India,RHESUS MACAQUE,865371,Whole Genome: Deep Coverage,SRR7865789,306194233
m00574,f,India,RHESUS MACAQUE,865374,Whole Genome: Deep Coverage,SRR7865788,324459704
m00575,f,India,RHESUS MACAQUE,865375,Whole Genome: Deep Coverage,SRR7865787,901908064
m00576,f,India,RHESUS MACAQUE,865378,Whole Genome: Deep Coverage,SRR7865786,312595163
m00577,m,India,RHESUS MACAQUE,865379,Whole Genome: Deep Coverage,SRR7865793,281329147
m00578,f,India,RHESUS MACAQUE,865381,Whole Genome: Deep Coverage,SRR7865792,302745534
m00579,f,India,RHESUS MACAQUE,865383,Whole Genome: Deep Coverage,SRR7865791,286953021
m00580,m,India,RHESUS MACAQUE,865385,Whole Genome: Deep Coverage,SRR7827147,279937206
m00581,f,India,RHESUS MACAQUE,865386,Whole Genome: Deep Coverage,SRR7865790,336748008
m00582,m,India,RHESUS MACAQUE,865388,Whole Genome: Deep Coverage,SRR7827154,282987575
m00583,f,India,RHESUS MACAQUE,865389,Whole Genome: Deep Coverage,SRR7865795,312873127
m00584,f,India,RHESUS MACAQUE,865391,Whole Genome: Deep Coverage,SRR7865794,310271769
m00585,f,India,RHESUS MACAQUE,865394,Whole Genome: Deep Coverage,SRR7865784,301035833
m00586,m,India,RHESUS MACAQUE,865395,Whole Genome: Deep Coverage,SRR7827153,315183896
m00587,f,India,RHESUS MACAQUE,865396,Whole Genome: Deep Coverage,SRR7865785,290317922
m00588,m,India,RHESUS MACAQUE,865398,Whole Genome: Deep Coverage,SRR7827152,322980221
m00589,f,India,RHESUS MACAQUE,865399,Whole Genome: Deep Coverage,SRR7865782,297744188
m00590,f,India,RHESUS MACAQUE,865401,Whole Genome: Deep Coverage,SRR7827157,353315106
m00591,m,India,RHESUS MACAQUE,865402,Whole Genome: Deep Coverage,SRR7827156,295850207
m00592,f,India,RHESUS MACAQUE,865403,Whole Genome: Deep Coverage,SRR7865783,288215771
m00593,f,India,RHESUS MACAQUE,865406,Whole Genome: Deep Coverage,SRR7865780,311750003
m00594,m,India,RHESUS MACAQUE,865407,Whole Genome: Deep Coverage,SRR7827175,275125173
m00595,m,India,RHESUS MACAQUE,865408,Whole Genome: Deep Coverage,SRR7865781,289615562
m00596,m,India,RHESUS MACAQUE,865410,Whole Genome: Deep Coverage,SRR7827159,325740804
m00597,m,India,RHESUS MACAQUE,865411,Whole Genome: Deep Coverage,SRR7827158,285694420
m00598,m,India,RHESUS MACAQUE,865412,Whole Genome: Deep Coverage,SRR7865778,288595990
m00599,m,India,RHESUS MACAQUE,865414,Whole Genome: Deep Coverage,SRR7827161,308683798
m00600,m,India,RHESUS MACAQUE,865415,Whole Genome: Deep Coverage,SRR7827160,283290030
m00601,f,India,RHESUS MACAQUE,865416,Whole Genome: Deep Coverage,SRR7865779,311296965
m00602,f,India,RHESUS MACAQUE,865419,Whole Genome: Deep Coverage,SRR7865776,288540928
m00603,m,India,RHESUS MACAQUE,865420,Whole Genome: Deep Coverage,SRR7827163,319423594
m00604,m,India,RHESUS MACAQUE,865421,Whole Genome: Deep Coverage,SRR7827162,307427110
m00605,f,India,RHESUS MACAQUE,865422,Whole Genome: Deep Coverage,SRR7865777,297673715
m00606,m,India,RHESUS MACAQUE,865424,Whole Genome: Deep Coverage,SRR7827165,295599166
m00607,f,India,RHESUS MACAQUE,865425,Whole Genome: Deep Coverage,SRR7827164,305069661
m00608,m,India,RHESUS MACAQUE,865426,Whole Genome: Deep Coverage,SRR7827167,291214273
m00609,m,India,RHESUS MACAQUE,865427,Whole Genome: Deep Coverage,SRR7827166,289268450
m00610,m,India,RHESUS MACAQUE,865428,Whole Genome: Deep Coverage,SRR7827133,287716817
m00611,m,India,RHESUS MACAQUE,865429,Whole Genome: Deep Coverage,SRR7827134,281343994
m00612,f,India,RHESUS MACAQUE,865430,Whole Genome: Deep Coverage,SRR7865753,373671625
m00613,m,India,RHESUS MACAQUE,865432,Whole Genome: Deep Coverage,SRR7827135,283251367
m00614,f,India,RHESUS MACAQUE,865433,Whole Genome: Deep Coverage,SRR7865752,318124360
m00629,f,India,RHESUS MACAQUE,865450,Whole Genome: Deep Coverage,SRR7865694,297061849
m00638,m,India,RHESUS MACAQUE,865460,Whole Genome: Deep Coverage,SRR7865695,291472388
m00769,f,India,RHESUS MACAQUE,865589,Whole Genome: Deep Coverage,SRR7865729,381703675
m00780,f,India,RHESUS MACAQUE,865601,Whole Genome: Deep Coverage,SRR7865714,422692619
m00789,f,India,RHESUS MACAQUE,865611,Whole Genome: Deep Coverage,SRR7865713,384312906
m00791,f,India,RHESUS MACAQUE,865614,Whole Genome: Deep Coverage,SRR7865712,380713116
m00801,m,India,RHESUS MACAQUE,865624,Whole Genome: Deep Coverage,SRR7865704,316556392
m00806,f,India,RHESUS MACAQUE,865628,Whole Genome: Deep Coverage,SRR7827130,375366944
m00807,f,India,RHESUS MACAQUE,865630,Whole Genome: Deep Coverage,SRR7865688,327234060
m00808,f,India,RHESUS MACAQUE,865631,Whole Genome: Deep Coverage,SRR7865689,294348238
m00809,m,India,RHESUS MACAQUE,865633,Whole Genome: Deep Coverage,SRR7865715,364846957
m00810,m,India,RHESUS MACAQUE,865636,Whole Genome: Deep Coverage,SRR7865690,326436726
m00811,m,India,RHESUS MACAQUE,865637,Whole Genome: Deep Coverage,SRR7827131,363473312
m00812,m,India,RHESUS MACAQUE,865639,Whole Genome: Deep Coverage,SRR7865691,322442396
m00813,f,India,RHESUS MACAQUE,865640,Whole Genome: Deep Coverage,SRR7827132,369720704
m00814,m,Hybrid (China / India),RHESUS MACAQUE,865641,Whole Genome: Deep Coverage,SRR7827140,457299968
m00815,f,India,RHESUS MACAQUE,865642,Whole Genome: Deep Coverage,SRR7827141,390746932
m00816,f,India,RHESUS MACAQUE,865644,Whole Genome: Deep Coverage,SRR7865696,317811159
m00817,f,India,RHESUS MACAQUE,865645,Whole Genome: Deep Coverage,SRR7827169,365033218
m00818,m,India,RHESUS MACAQUE,865646,Whole Genome: Deep Coverage,SRR7827168,368802177
m00819,f,India,RHESUS MACAQUE,865647,Whole Genome: Deep Coverage,SRR7827155,359059054
m00820,m,India,RHESUS MACAQUE,865648,Whole Genome: Deep Coverage,SRR7827136,302702424
m00821,f,India,RHESUS MACAQUE,865649,Whole Genome: Deep Coverage,SRR7865697,282342942
m00822,m,Hybrid (China / India),RHESUS MACAQUE,865651,Whole Genome: Deep Coverage,SRR7827151,361483492
m00823,m,INDIA,RHESUS MACAQUE,865652,Whole Genome: Deep Coverage,SRR7827173,372997410
m00824,f,India,RHESUS MACAQUE,865653,Whole Genome: Deep Coverage,SRR7827172,358439068
